23S_rRNA__adenine_2058__N_6___methyltransferase	23S_rRNA__adenine_2058__N_6___methyltransferase.3005099.AF002716.1.210_942.6143
AAC_2___IIa	AAC_2___IIa.3004628.AB669090.1.12438_13221.5361
AAC_2___IIb	AAC_2___IIb.3003988.KX531051.1.0_723.3860
AAC_2___Ia	AAC_2___Ia.3002523.L06156.2.263_800.8144
AAC_2___Ib	AAC_2___Ib.3002524.U41471.1.264_852.85
AAC_2___Ic	AAC_2___Ic.3002525.AL123456.3.314308_314854.4719
AAC_2___Id	AAC_2___Id.3002526.U72743.1.385_1018.228
AAC_2___Ie	AAC_2___Ie.3002527.AL583926.1.40191_40740.5510
AAC_3__II-	AAC_3__IIa.3002533.X13543.1.185_1046.4266	AAC_3__IIc.3002535.X54723.1.818_1679.616	AAC_3__IId.3004623.EU022314.1.0_861.5344	AAC_3__IIe.3004621.EU022315.1.0_861.5340
AAC_3__IIIa	AAC_3__IIIa.3002536.X55652.1.1123_1939.6
AAC_3__IIIb	AAC_3__IIIb.3002537.LLLC01000048.1.352_1171.5232
AAC_3__IIIc	AAC_3__IIIc.3002538.L06161.1.105_945.9
AAC_3__IIb	AAC_3__IIb.3002534.M97172.1.655_1465.10
AAC_3__IIg	AAC_3__IIg.3005085.MT090547.1.0_810.6120
AAC_3__IV	AAC_3__IV.3002539.DQ241380.1.0_777.3715
AAC_3__IVb	AAC_3__IVb.3005061.MN366378.1.0_756.6130
AAC_3__IXa	AAC_3__IXa.3002543.M55427.1.273_1119.655
AAC_3__Ia	AAC_3__Ia.3002528.U12338.3.5055_5520.8360
AAC_3__Ib	AAC_3__Ib.3002530.L06157.1.554_1085.224
AAC_3__Ib_AAC_6___Ib__	AAC_3__Ib_AAC_6___Ib__.3002600.AF355189.1.1434_2439.271
AAC_3__Ic	AAC_3__Ic.3002531.AJ511268.1.1294_1765.47
AAC_3__Id	AAC_3__Id.3002529.AY458224.1.706_1183.223
