Bla.blaACC_3_AF180957_1_1131_1131 was removed because it failed filtering checks, so removing its metadata
Bla.blaB_9_AY348324_1_747_747 was removed because it failed filtering checks, so removing its metadata
Bla.blaCMG_AY265892_1_1054_1054 was removed because it failed filtering checks, so removing its metadata
Bla.blaCMY_29_EF685371_1_1143_1143 was removed because it failed filtering checks, so removing its metadata
Bla.blaCMY_30_EF685372_1_1143_1143 was removed because it failed filtering checks, so removing its metadata
Bla.blaCMY_87_AB699171_1_1143_1143 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_106_HQ913565_1_870_870 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_107_JF274244_1_864_864 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_108_JF274245_1_864_864 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_109_JF274248_1_865_865 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_10_AF255298_1_873_873 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_110_JF274242_1_877_877 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_11_AY005110_254_1402_876 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_74_GQ149243_1_873_873 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_75_GQ149244_1_873_873 was removed because it failed filtering checks, so removing its metadata
Bla.blaCTX_M_88_FJ873739_1_876_876 was removed because it failed filtering checks, so removing its metadata
Bla.blaGES_23_KF179354_1_861_861 was removed because it failed filtering checks, so removing its metadata
Bla.blaGOB_2_AF189296_1_756_756 was removed because it failed filtering checks, so removing its metadata
Bla.blaGOB_3_AF189291_1_756_756 was removed because it failed filtering checks, so removing its metadata
Bla.blaGOB_4_AF189293_1_756_756 was removed because it failed filtering checks, so removing its metadata
Bla.blaGOB_5_AF189290_1_756_756 was removed because it failed filtering checks, so removing its metadata
Bla.blaGOB_6_AF189292_1_756_756 was removed because it failed filtering checks, so removing its metadata
Bla.blaGOB_7_AF189297_1_756_756 was removed because it failed filtering checks, so removing its metadata
Bla.blaKPC_9_FJ624872_1_854_854 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_10_AJ635419_1_789_789 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_11_AJ635417_1_789_789 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_12_AJ635406_1_789_789 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_13_AJ635403_1_789_789 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_24_AM850914_31_891_861 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_3_AY130286_1_823_823 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_4_AY130287_1_823_823 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_6_AY265890_1_472_472 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_7_AJ635425_1_789_789 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_8_AJ635424_1_789_789 was removed because it failed filtering checks, so removing its metadata
Bla.blaLEN_9_AJ635423_1_789_789 was removed because it failed filtering checks, so removing its metadata
Bla.blaOKP_B_12_AJ635420_1_861_861 was removed because it failed filtering checks, so removing its metadata
Bla.blaOXA_104_EF581285_1_822_822 was removed because it failed filtering checks, so removing its metadata
Bla.blaOXA_116_EU220744_1_786_786 was removed because it failed filtering checks, so removing its metadata
Bla.blaOXA_194_HQ425492_1_822_822 was removed because it failed filtering checks, so removing its metadata
Bla.blaOXA_195_HQ425493_1_822_822 was removed because it failed filtering checks, so removing its metadata
Bla.blaOXA_196_HQ425494_1_822_822 was removed because it failed filtering checks, so removing its metadata
Bla.blaOXA_197_HQ425495_1_822_822 was removed because it failed filtering checks, so removing its metadata
Bla.blaOXA_34_AF350424_1_771_771 was removed because it failed filtering checks, so removing its metadata
Bla.blaOXA_36_AF300985_1_739_739 was removed because it failed filtering checks, so removing its metadata
