A16S.MEG_10_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_11_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_12_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_1_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_2_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_3_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_4_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_5_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_6_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_7_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_8_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
A16S.MEG_9_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
AAC3_PRIME.MEG_70_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC3_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_298_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_312_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_333_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_336_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_338_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_339_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_340_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_342_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_346_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_362_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
AAC6_PRIME.MEG_364_Drugs_Aminoglycosides_Aminoglycoside_N_acetyltransferases_AAC6_PRIME was removed because it failed filtering checks, so removing its metadata
ABES.MEG_374_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_SMR_efflux_pumps_ABES was removed because it failed filtering checks, so removing its metadata
ACC.MEG_391_Drugs_betalactams_Class_C_betalactamases_ACC was removed because it failed filtering checks, so removing its metadata
ACT.MEG_447_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_448_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_449_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_483_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_484_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_486_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_487_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_488_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_490_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_491_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_492_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_493_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_495_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
ACT.MEG_497_Drugs_betalactams_Class_C_betalactamases_ACT was removed because it failed filtering checks, so removing its metadata
AER.MEG_708_Drugs_betalactams_Class_A_betalactamases_AER was removed because it failed filtering checks, so removing its metadata
ALU1P.MEG_723_Metals_Aluminum_resistance_Aluminum_resistance_protein_ALU1P was removed because it failed filtering checks, so removing its metadata
ANT3_DPRIME.MEG_952_Drugs_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because it failed filtering checks, so removing its metadata
ANT3_DPRIME.MEG_955_Drugs_Aminoglycosides_Aminoglycoside_O_nucleotidyltransferases_ANT3_DPRIME was removed because it failed filtering checks, so removing its metadata
